TIMESTAMP	ACCX	ACCY	ACCZ
1653459755931	0.00000	0.00000	0.00000
1653459755935	3.96826	1.11914	-0.93408
1653459755990	0.00000	0.00000	0.00000
1653459755994	0.00000	0.00000	0.00000
1653459756014	3.29980	1.73877	0.67041
1653459756035	2.42285	2.20703	2.09668
1653459756110	2.04785	2.27588	2.24463
1653459756169	0.53906	2.24902	3.08350
1653459756215	-0.11035	1.96436	3.19385
1653459756275	-0.27148	1.94971	3.43506
1653459756364	-0.24365	1.90234	3.31152
1653459756424	0.58447	2.06201	3.28418
1653459756604	2.17529	2.06836	2.51123
1653459756622	2.78320	1.83008	2.04053
1653459756649	3.64990	1.58398	0.86621
1653459756710	3.48389	1.38037	0.34326
1653459756712	3.93896	1.15967	-0.42041
1653459756845	3.88281	0.94385	-0.91113
1653459756937	3.85645	0.81299	-1.16113
1653459756967	3.84180	0.86182	-0.98926
1653459757014	4.15430	1.00293	-0.62842
1653459757101	3.82227	1.61279	0.85156
1653459757161	3.16406	1.72900	1.40381
1653459757222	2.27002	1.88232	2.29492
1653459757269	1.82959	1.86523	2.76758
1653459757326	1.34424	1.94580	3.06543
1653459757385	1.10596	2.00488	3.14209
1653459757448	0.31836	1.87549	3.30029
1653459757505	-0.01172	1.80420	3.36621
1653459757552	0.03906	1.83838	3.36475
1653459757580	-0.13867	1.81787	3.22217
1653459757641	0.30371	1.83252	3.00977
1653459757669	1.72803	1.92578	3.03955
1653459757717	2.40820	1.83301	2.70410
1653459757761	3.16846	1.73682	1.99072
1653459758001	3.27588	1.51172	1.41699
1653459758061	3.79297	0.61621	-1.53467
1653459758120	3.60352	0.39697	-1.86230
1653459758300	3.62842	0.25928	-2.11621
1653459758345	3.94824	0.72412	-0.75342
1653459758389	3.90723	1.25098	0.42773
1653459758422	3.41162	1.09473	0.74707
1653459758600	2.94629	1.45947	1.83789
1653459758900	1.90723	1.58203	2.98340
1653459758931	0.35498	1.39355	3.53516
1653459758990	0.25928	1.44922	3.54492
1653459759020	0.17627	1.38867	3.68750
1653459759065	0.24463	1.43799	3.58887
1653459759142	0.21338	1.37061	3.56592
1653459759185	0.23535	1.43555	3.62793
1653459759231	0.07373	1.29102	3.72559
1653459759261	0.13672	1.32617	3.72021
1653459759334	0.15137	1.27100	3.68604
1653459759515	0.11475	1.22217	3.66064
1653459759980	0.73291	0.53174	3.71387
1653459760010	2.63721	0.28125	3.06250
1653459760014	2.59229	0.21533	2.99365
1653459760072	3.24219	0.04541	1.97656
1653459760130	3.19922	0.14795	2.01318
1653459760191	4.06250	0.07764	1.29004
1653459760326	3.55762	-0.02539	1.31055
1653459760535	3.85693	0.00537	-0.58643
1653459760746	3.28711	0.06055	-1.73682
1653459760807	3.12256	0.09961	-2.30566
1653459760866	3.01855	0.09277	-2.44531
1653459761030	3.15820	0.03369	-2.75342
1653459761061	2.98584	0.11572	-2.51123
1653459761151	3.42969	0.08105	-2.41211
1653459761210	3.46094	0.13428	-2.20459
1653459761300	3.28809	0.11279	-2.10156
1653459761330	3.42480	0.11816	-1.88623
1653459761362	3.52344	0.20020	-1.77393
1653459761419	3.69482	0.31104	-1.51660
1653459761482	3.97363	0.46582	-0.94287
1653459761540	3.73828	0.39697	-0.42285
